Bigram Language Model Smoothing Results
=====================================

Formulas:
1. Add-One: P(w2|w1) = (count(w1,w2) + 1) / (count(w1) + V)
2. Add-K: P(w2|w1) = (count(w1,w2) + 0.3) / (count(w1) + 0.3*V)
3. Token Type: P(w2|w1) = (count(w1,w2) + V) / (count(w1) + V²)

Bigram	Count	ContextCount	AddOne	AddK	TokenType
('<s>', 'নয়াদিল্লি')	4	0	0.000616	0.001766	0.000123
('নয়াদিল্লি', ':')	4	4	0.000616	0.001764	0.000123
(':', 'আজ')	1	115	0.000243	0.000510	0.000123
('আজ', 'ভ্যালেন্টাইনস')	1	30	0.000246	0.000528	0.000123
('ভ্যালেন্টাইনস', 'ডে')	1	1	0.000246	0.000534	0.000123
('ডে', '</s>')	1	5	0.000246	0.000533	0.000123
('<s>', 'এমন')	4	0	0.000616	0.001766	0.000123
('এমন', 'একটি')	3	29	0.000491	0.001340	0.000123
('একটি', 'দিনে')	2	70	0.000367	0.000918	0.000123
('দিনে', 'প্রিয়')	1	7	0.000246	0.000533	0.000123
('প্রিয়', 'মানুষকে')	1	7	0.000246	0.000533	0.000123
('মানুষকে', 'হৃদয়')	1	2	0.000246	0.000534	0.000123
('হৃদয়', 'উজাড়')	1	1	0.000246	0.000534	0.000123
('উজাড়', 'করা')	1	1	0.000246	0.000534	0.000123
('করা', 'ভালোবাসার')	1	112	0.000243	0.000511	0.000123
('ভালোবাসার', 'বার্তা')	1	6	0.000246	0.000533	0.000123
('বার্তা', 'দিতে')	1	4	0.000246	0.000533	0.000123
('দিতে', 'পৌঁছে')	1	22	0.000246	0.000529	0.000123
('পৌঁছে', 'দিতে')	1	4	0.000246	0.000533	0.000123
('দিতে', 'উন্মুখ')	1	22	0.000246	0.000529	0.000123
('উন্মুখ', 'অনেকেই')	1	1	0.000246	0.000534	0.000123
('অনেকেই', '</s>')	1	5	0.000246	0.000533	0.000123
('দিনে', 'ভারতীয়')	1	7	0.000246	0.000533	0.000123
('ভারতীয়', 'দলের')	3	10	0.000492	0.001350	0.000123
('দলের', 'প্রাক্তন')	3	26	0.000491	0.001341	0.000123
('প্রাক্তন', 'ক্রিকেটার')	1	11	0.000246	0.000532	0.000123
('ক্রিকেটার', 'সচিন')	1	4	0.000246	0.000533	0.000123
('সচিন', 'তেন্ডুলকর')	2	3	0.000370	0.000944	0.000123
('তেন্ডুলকর', 'জানালেন')	1	2	0.000246	0.000534	0.000123
('জানালেন', 'তাঁর')	1	3	0.000246	0.000533	0.000123
('তাঁর', 'প্রথম')	1	25	0.000246	0.000529	0.000123
('প্রথম', 'ভালোবাসার')	1	25	0.000246	0.000529	0.000123
('ভালোবাসার', 'কথা')	1	6	0.000246	0.000533	0.000123
('কথা', '</s>')	2	43	0.000368	0.000928	0.000123
('<s>', 'একটি')	1	0	0.000246	0.000534	0.000123
('একটি', 'ভিডিও')	3	70	0.000489	0.001318	0.000123
('ভিডিও', 'পোস্ট')	2	9	0.000369	0.000941	0.000123
('পোস্ট', 'করেছেন')	1	10	0.000246	0.000532	0.000123
('করেছেন', 'ভারতীয়')	1	31	0.000246	0.000527	0.000123
('প্রাক্তন', 'ব্যাটিং')	1	11	0.000246	0.000532	0.000123
('ব্যাটিং', 'স্তম্ভ')	1	5	0.000246	0.000533	0.000123
('স্তম্ভ', '</s>')	1	1	0.000246	0.000534	0.000123
('<s>', 'ভিডিওতে')	2	0	0.000370	0.000945	0.000123
('ভিডিওতে', 'আন্তর্জাতিক')	1	4	0.000246	0.000533	0.000123
('আন্তর্জাতিক', 'ক্রিকেট')	2	8	0.000369	0.000942	0.000123
('ক্রিকেট', '১০০')	1	11	0.000246	0.000532	0.000123
('১০০', 'শতরানের')	1	4	0.000246	0.000533	0.000123
('শতরানের', 'মালিককে')	1	1	0.000246	0.000534	0.000123
('মালিককে', 'নেটে')	1	1	0.000246	0.000534	0.000123
('নেটে', 'অনুশীলন')	1	1	0.000246	0.000534	0.000123
('অনুশীলন', 'করতে')	1	1	0.000246	0.000534	0.000123
('করতে', 'দেখা')	3	80	0.000488	0.001313	0.000123
('দেখা', 'যাচ্ছে')	5	29	0.000737	0.002152	0.000123
('যাচ্ছে', '</s>')	7	19	0.000984	0.002976	0.000123
('<s>', 'ওই')	3	0	0.000493	0.001356	0.000123
('ওই', 'ভিডিও')	1	27	0.000246	0.000528	0.000123
('ভিডিও', 'শেয়ার')	1	9	0.000246	0.000532	0.000123
('শেয়ার', 'করে')	1	3	0.000246	0.000533	0.000123
('করে', 'সচিন')	1	192	0.000241	0.000495	0.000123
('সচিন', 'লিখেছেন')	1	3	0.000246	0.000533	0.000123
('লিখেছেন', ',')	3	5	0.000493	0.001353	0.000123
(',', 'আমার')	4	779	0.000562	0.001338	0.000123
('আমার', 'প্রথম')	1	49	0.000245	0.000524	0.000123
('প্রথম', 'ভালোবাসা')	1	25	0.000246	0.000529	0.000123
('ভালোবাসা', '</s>')	1	7	0.000246	0.000533	0.000123
('<s>', '“')	2	0	0.000370	0.000945	0.000123
('“', 'বসে')	1	19	0.000246	0.000530	0.000123
('বসে', 'থাকেন')	1	5	0.000246	0.000533	0.000123
('থাকেন', ',')	1	5	0.000246	0.000533	0.000123
(',', 'নির্বাচন')	2	779	0.000337	0.000716	0.000123
('নির্বাচন', '৫')	1	11	0.000246	0.000532	0.000123
('৫', 'বছর')	1	22	0.000246	0.000529	0.000123
('বছর', 'পর')	5	36	0.000736	0.002146	0.000123
('পর', 'হবে')	1	33	0.000245	0.000527	0.000123
('হবে', '</s>')	48	90	0.005973	0.019135	0.000124
('<s>', 'নানান')	1	0	0.000246	0.000534	0.000123
('নানান', 'সুতার')	1	2	0.000246	0.000534	0.000123
('সুতার', 'টানে')	1	1	0.000246	0.000534	0.000123
('টানে', 'আপনারা')	1	1	0.000246	0.000534	0.000123
('আপনারা', 'নাচতে')	1	5	0.000246	0.000533	0.000123
('নাচতে', 'পারেন')	1	1	0.000246	0.000534	0.000123
('পারেন', '</s>')	3	7	0.000493	0.001352	0.000123
